Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013563	249	1023	184	561	145	97	43	75	545	357	529	430	296	303	150	91	78	78	284	369	260.87	390	99	326	3.277	1.712	3.755	0.000173176187382602	0.00428045685342649	0.0743	0.7701	0.1276	0.1276	TRUE	0.2961
FBgn0037560	35	127	135	248	40	37	12	28	329	166	74	53	217	134	41	35	22	29	172	172	94.91	120	32	172	5.364	2.423	3.753	0.000175061370195413	0.00430395543058722	0.1799	0.9156	0.2517	0.2517	TRUE	0.2682
FBgn0053281	21	131	168	534	14	8	17	21	45	871	45	55	270	289	14	8	31	22	23	900	165.66	165	19	462	24.892	4.638	3.747	0.000178892260315967	0.00436705717453307	0.9829	0.818	0.9585	0.9585	TRUE	0.098
FBgn0031974	68	279	70	110	18	48	0	22	389	344	145	117	113	59	19	45	0	23	203	355	107.88	108	22	279	12.685	3.665	3.743	0.000182050897365433	0.00442851628327145	0.5162	0.8881	0.5943	0.5943	TRUE	1.6303
FBgn0042101	18	43	41	63	10	22	0	10	94	300	38	18	66	34	10	21	0	10	49	310	55.68	39	10	180	16.895	4.079	3.742	0.000182657048086893	0.00443545243131212	0.644	1.0768	0.7207	0.7207	TRUE	0.8268
FBgn0033216	31	108	101	230	1	5	0	0	89	16	66	45	162	124	1	5	0	0	46	17	46.67	99	2	32	19.964	4.319	3.736	0.000186903687683252	0.00453061096968331	0.4388	1.152	0.5965	0.5965	TRUE	0.3469
FBgn0030719	6	5	21	34	0	0	0	0	26	22	13	2	34	18	0	0	0	0	14	23	10.33	17	0	18	84.491	6.401	3.733	0.000189288757344665	0.00458039012299692	0.7877	2.7883	1.1883	1.1883	TRUE	0.0931
FBgn0019932	210	633	406	722	42	91	44	58	382	291	446	266	653	390	43	86	80	60	199	301	252.47	439	67	250	3.718	1.894	3.729	0.000192311964413615	0.00463730263927212	0.1014	0.7729	0.1573	0.1573	TRUE	0.1013
FBgn0052259	2	8	48	232	0	0	0	0	56	36	4	3	77	125	0	0	0	0	29	37	27.66	52	0	33	154.964	7.276	3.718	0.000200703507318832	0.00477301266888865	1.8797	1.4717	1.7708	1.7708	TRUE	0.0869
FBgn0037755	398	1266	233	430	120	157	53	78	1270	370	846	532	375	232	124	148	96	81	662	382	347.89	496	112	522	4.649	2.217	3.712	0.000205307779980307	0.00485742739039023	0.1639	0.7493	0.2239	0.2239	TRUE	0.1721
FBgn0043043	3	24	5	32	0	0	0	0	14	14	6	10	8	17	0	0	0	0	7	14	6.36	10	0	10	50.353	5.654	3.713	0.000204963860260708	0.00485742739039023	0.1474	4.1013	0.7713	0.7713	TRUE	0.6975
FBgn0264984	1	1	4	4	1	0	0	0	126	8	2	0	6	2	1	0	0	0	66	8	8.62	2	0	37	105.157	6.716	3.711	0.00020664121285852	0.00488061818472849	1.0196	3.2063	1.418	1.418	TRUE	0.6685
FBgn0036772	185	751	82	176	161	245	56	140	3156	511	393	316	132	95	166	230	101	146	1646	528	375.41	234	161	1087	6.741	2.753	3.707	0.000209660169878745	0.00492899664223091	0.2989	0.7448	0.3503	0.3503	TRUE	0.3955
FBgn0038007	2	78	6	20	0	0	0	0	13	29	4	33	10	11	0	0	0	0	7	30	9.42	14	0	18	85.194	6.413	3.707	0.000209759718146615	0.00492899664223091	0.7733	2.9899	1.2221	1.2221	TRUE	0.8019
FBgn0002564	19	171	53	270	4053	2562	4971	1666	55	619164	40	72	85	146	4188	2410	9010	1737	29	639754	65747.12	86	4336	319892	73.774	6.205	3.703	0.000212785699936995	0.0049916129304405	2.0276	0.6873	1.7983	1.7983	TRUE	4.2584
