Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0014073	95	439	386	1054	1352	1972	589	2149	1940	676	202	185	621	570	1397	1855	1068	2241	1012	698	984.73	394	1640	855	4.16	2.057	3.903	9.51757214740968e-05	0.000927593763509192	0.1995	0.709	0.265	0.265	TRUE	0.1377
FBgn0002577	4	63	4	11	121	75	121	26	25	6	9	26	6	6	125	71	219	27	13	6	50.86	12	110	10	9.004	3.171	3.901	9.56945242593889e-05	0.000931119513414638	0.5092	1.1137	0.5838	0.5838	TRUE	0.1124
FBgn0031005	2	39	11	115	304	53	385	147	31	12	4	16	18	62	314	50	698	153	16	12	134.41	25	304	14	11.857	3.568	3.901	9.57310071987892e-05	0.000931119513414638	0.7745	0.8484	0.7792	0.7792	TRUE	0.1522
FBgn0035546	1	9	2	4	143	41	52	14	15	1193	2	4	3	2	148	39	94	15	8	1233	154.7	3	74	620	25.757	4.687	3.901	9.58641318173148e-05	0.000931786450270115	1.2611	0.8272	1.1933	1.1933	TRUE	1.0548
FBgn0085387	61	299	358	965	2025	1565	3181	926	364	347	130	126	576	522	2093	1472	5765	966	190	359	1219.65	338	2574	274	7.609	2.928	3.9	9.62875280144373e-05	0.000934643025797167	0.5139	0.7047	0.5396	0.5396	TRUE	0.4774
FBgn0004362	3354	17066	635	807	33494	35609	19291	30514	22046	10951	7127	7176	1021	436	34611	33494	34964	31817	11498	11315	17345.91	3940	33722	11406	8.559	3.097	3.897	9.73078075482837e-05	0.000942644895403978	0.5931	0.6882	0.6068	0.6068	TRUE	1.9996
FBgn0034923	248	977	251	637	727	755	407	757	656	389	527	411	404	344	751	710	738	789	342	402	541.82	422	747	372	1.781	0.833	3.894	9.87695131093348e-05	0.000955522219986688	0.0125	0.727	0.0418	0.0418	TRUE	0.1987
FBgn0014368	0	11	1	9	77	105	53	98	25	7615	0	5	2	5	80	99	96	102	13	7868	826.89	3	94	3940	30.944	4.952	3.893	9.89715237076993e-05	0.000956835213125875	1.5312	0.7132	1.3707	1.3707	TRUE	0.2939
FBgn0038549	255	1137	69	185	2377	3743	709	3121	2234	139	542	478	111	100	2456	3521	1285	3254	1165	144	1305.59	308	2629	654	8.549	3.096	3.892	9.93223688445967e-05	0.000959584385477181	0.5894	0.7036	0.6058	0.6058	TRUE	0.2549
FBgn0040959	133	1656	226	1579	5606	6294	11696	4035	458	33641	283	696	363	853	5793	5920	21199	4207	239	34760	7431.33	549	9280	17500	16.896	4.079	3.889	0.000100493234257081	0.000969598491488436	1.1238	0.6899	1.0556	1.0556	TRUE	5.3199
FBgn0036202	31	243	145	603	1240	654	1261	529	180	225	66	102	233	326	1281	615	2286	552	94	232	578.71	182	1184	163	6.495	2.699	3.887	0.00010138753046072	0.000977573556893805	0.4314	0.7244	0.4597	0.4597	TRUE	0.1724
FBgn0034094	33	141	84	200	650	251	671	346	107	309	70	59	135	108	672	236	1216	361	56	319	323.24	93	621	188	6.669	2.738	3.885	0.000102177512742109	0.000983425752934106	0.4286	0.7541	0.4698	0.4698	TRUE	0.1487
FBgn0034292	394	2647	548	2527	4973	5621	6918	4810	2422	15426	837	1113	881	1366	5139	5287	12539	5015	1263	15939	4937.93	1049	6995	8601	6.664	2.736	3.883	0.000103126085804397	0.000991686823784589	0.4447	0.6913	0.4766	0.4766	TRUE	2.3111
FBgn0263994	60	418	259	1107	1610	1277	1692	893	246	95	128	176	417	598	1664	1201	3067	931	128	98	840.72	330	1716	113	5.199	2.378	3.879	0.000104694186111437	0.00100209276016743	0.3217	0.7128	0.359	0.359	TRUE	0.2462
FBgn0037448	37	463	244	981	1718	1271	1876	808	265	101	79	195	392	530	1775	1196	3400	842	138	104	865.19	299	1803	121	6.021	2.59	3.878	0.000105356720806678	0.00100709861465139	0.3642	0.712	0.4264	0.4264	TRUE	0.188
FBgn0039402	293	1489	336	935	1603	1481	1214	995	1660	1823	623	626	540	505	1656	1393	2200	1037	866	1884	1133.1	574	1572	1375	2.74	1.454	3.878	0.000105512004219148	0.00100791546584989	0.084	0.7061	0.1337	0.1337	TRUE	0.1279
FBgn0051191	3	45	30	152	333	257	272	108	86	44	6	19	48	82	344	242	493	113	45	45	143.74	39	298	45	7.562	2.919	3.877	0.000105903743417593	0.00101098851355128	0.4776	0.8379	0.5281	0.5281	TRUE	0.1156
FBgn0026076	406	1580	465	1475	1450	1406	1110	1150	1558	724	863	664	748	797	1498	1323	2012	1199	813	748	1066.44	768	1508	780	1.964	0.974	3.871	0.000108302584650409	0.00103116062456729	0.0282	0.7073	0.0596	0.0596	TRUE	0.3818
FBgn0035772	553	2096	712	1982	3953	4588	4860	3176	2137	6602	1175	881	1145	1071	4085	4316	8809	3312	1115	6822	3272.92	1068	5130	3968	4.803	2.264	3.867	0.000110007401442529	0.00104463607396149	0.2545	0.6936	0.3286	0.3286	TRUE	1.0917
FBgn0010303	1121	5711	742	2326	4132	5248	2572	4649	5181	1691	2382	2401	1193	1257	4270	4936	4662	4847	2702	1747	3039.83	1808	4679	2224	2.588	1.372	3.865	0.000111086951725277	0.00105280962652833	0.0738	0.6941	0.1206	0.1206	TRUE	0.257
FBgn0264462	4	32	28	81	127	117	83	122	53	41	9	13	45	44	131	110	150	127	28	42	69.97	28	130	35	4.642	2.215	3.865	0.000111033780180562	0.00105280962652833	0.197	0.9971	0.2909	0.2909	TRUE	0.5336
FBgn0039266	204	1086	766	1891	2531	2765	1323	2313	3382	2613	434	457	1232	1022	2615	2601	2398	2412	1764	2700	1763.35	786	2506	2232	3.189	1.673	3.856	0.000115147608497917	0.00108772289336318	0.1251	0.6992	0.1799	0.1799	TRUE	0.8887
FBgn0035583	82	583	195	716	977	1473	1066	1032	562	1785	174	245	314	387	1010	1386	1932	1076	293	1844	866.06	280	1351	1068	4.818	2.268	3.853	0.000116608913306449	0.00110008696383352	0.2816	0.712	0.3305	0.3305	TRUE	0.3027
FBgn0033787	489	3037	1213	3579	3878	4893	3466	2931	8568	8101	1039	1277	1951	1934	4007	4602	6282	3056	4468	8370	3698.77	1550	4487	6419	2.893	1.533	3.849	0.000118404866405122	0.00111266656360126	0.1032	0.6928	0.1518	0.1518	TRUE	0.2113
FBgn0033212	1047	5111	1491	4476	5207	5749	7172	4261	2456	1855	2225	2149	2398	2419	5381	5408	12999	4443	1281	1917	4061.84	2298	7058	1599	3.071	1.619	3.849	0.000118662107545138	0.00111435839967893	0.1207	0.6923	0.1696	0.1696	TRUE	2.0574
FBgn0023529	2181	7789	2272	5822	6955	7931	4723	6866	8174	7046	4635	3275	3654	3146	7187	7460	8560	7159	4263	7280	5661.95	3678	7592	5772	2.065	1.046	3.849	0.000118790371582052	0.00111479013268416	0.0369	0.6908	0.0708	0.0708	TRUE	0.2468
FBgn0037171	7	14	36	139	344	363	494	204	27	1	15	6	58	75	355	341	895	213	14	1	197.39	38	451	8	11.703	3.549	3.847	0.000119788116077861	0.00112201276279548	0.8025	0.7969	0.8015	0.8015	TRUE	0.326
FBgn0037396	29	63	39	61	581	335	628	260	189	1	62	26	63	33	600	315	1138	271	99	1	260.82	46	581	50	12.72	3.669	3.842	0.000122200403252555	0.00114090596413155	0.8811	0.7702	0.8628	0.8628	TRUE	0.1805
