Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0004514	10	56	28	167	75	32	129	98	36	5	21	24	45	90	78	30	234	102	19	5	64.76	45	111	12	0.11	-3.18	-3.226	0.00125611421791803	0.0172865838137185	0.5134	1.0221	0.5768	0.5768	TRUE	0.2198
FBgn0005775	33	268	147	719	413	313	660	157	86	83	70	113	236	389	427	294	1196	164	45	86	301.95	202	520	66	0.125	-2.996	-3.222	0.00127146692291933	0.0174457383058355	0.5126	0.7588	0.545	0.545	TRUE	0.5678
FBgn0004168	17	216	152	694	467	232	554	163	121	36	36	91	244	375	483	218	1004	170	63	37	272.16	186	469	50	0.107	-3.22	-3.222	0.00127508063529941	0.017477965414615	0.6065	0.7667	0.629	0.629	TRUE	0.3075
FBgn0053147	43	365	362	1476	754	634	845	616	312	22	91	153	582	798	779	596	1532	642	163	23	535.95	406	887	93	0.105	-3.254	-3.22	0.00128206672975758	0.0175481128565043	0.6346	0.7274	0.648	0.648	TRUE	0.3484
FBgn0004118	24	232	152	659	416	299	399	293	138	74	51	98	244	356	430	281	723	306	72	76	263.74	187	435	74	0.171	-2.55	-3.22	0.00128406415977331	0.0175488768502352	0.3427	0.7692	0.3941	0.3941	TRUE	0.4582
FBgn0045064	174	658	310	1118	1076	1109	2180	747	504	390	370	277	499	604	1112	1043	3951	779	263	403	930.01	438	1721	333	0.193	-2.37	-3.219	0.00128600579790223	0.0175580455628608	0.2979	0.7103	0.3455	0.3455	TRUE	2.5594
FBgn0038642	1	46	1	8	133	26	55	163	2	12	2	19	2	4	137	24	100	170	1	12	47.24	7	108	6	0.06	-4.051	-3.217	0.00129663534930665	0.0176508479028275	0.8941	1.1464	0.9335	0.9335	TRUE	0.3647
FBgn0052829	3	32	7	19	77	113	168	88	59	2	6	13	11	10	80	106	304	92	31	2	65.63	10	146	16	0.116	-3.113	-3.214	0.0013070393097788	0.0177052570031507	0.4933	1.0177	0.5675	0.5675	TRUE	1.952
FBgn0013759	1114	6941	1296	5253	4901	4222	3487	3747	4942	1291	2367	2918	2084	2839	5064	3971	6320	3907	2577	1334	3338.29	2552	4816	1956	0.406	-1.299	-3.213	0.00131316677947704	0.017753449502969	0.0625	0.6934	0.1044	0.1044	TRUE	0.2572
FBgn0039264	0	14	4	13	36	23	57	90	20	4	0	6	6	7	37	22	103	94	10	4	28.99	5	64	7	0.117	-3.096	-3.212	0.0013191335776332	0.0177819206264955	0.3673	1.4356	0.5207	0.5207	TRUE	0.035
