Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0036725	10	120	59	250	145	72	76	54	8	11	21	50	95	135	150	68	138	56	4	11	72.88	75	103	8	0.099	-3.332	-3.788	0.000151882830359995	0.00460990576837473	0.3472	0.9847	0.4232	0.4232	TRUE	0.1591
FBgn0265988	830	3637	1038	3245	677	688	451	686	1823	522	1764	1529	1669	1754	700	647	817	715	951	539	1108.55	1679	720	745	0.445	-1.17	-3.788	0.000151698294015836	0.00460990576837473	0.0262	0.7065	0.0601	0.0601	TRUE	0.0633
FBgn0003930	14	53	20	71	0	0	0	0	3	0	30	22	32	38	0	0	0	0	2	0	12.41	30	0	1	0.03	-5.038	-3.787	0.000152623926902936	0.00462177455710887	0	2.4354	0.6005	0.6005	TRUE	0.0428
FBgn0262580	41	83	183	500	3	3	0	0	15	0	87	35	294	270	3	3	0	0	8	0	70.03	172	2	4	0.024	-5.391	-3.778	0.000158142243103952	0.00475615497881887	1.2551	0.9969	1.1773	1.1773	TRUE	0.0334
FBgn0037602	13	71	15	84	42	20	12	40	12	3	28	30	24	45	43	19	22	42	6	3	26.2	32	32	4	0.152	-2.717	-3.758	0.000171521910243047	0.00511197241746941	0.0978	1.5153	0.2222	0.2222	TRUE	0.0947
FBgn0027655	776	3863	1230	4603	598	514	592	357	1108	475	1649	1624	1978	2488	618	483	1073	372	578	491	1135.43	1935	636	534	0.276	-1.856	-3.757	0.000171947225094574	0.00511310633541364	0.1056	0.7061	0.1552	0.1552	TRUE	1.4646
FBgn0085422	10	120	66	297	57	92	96	69	17	0	21	50	106	161	59	87	174	72	9	0	73.86	84	98	4	0.056	-4.17	-3.748	0.000177915088976334	0.00527868071854951	0.6136	0.9808	0.6805	0.6805	TRUE	0.176
FBgn0038849	20	39	96	126	1	7	16	23	6	1	43	16	154	68	1	7	29	24	3	1	34.61	70	15	2	0.031	-5.009	-3.748	0.000178572832653032	0.00528631638905377	0.8408	1.314	0.9082	0.9082	TRUE	0.1631
FBgn0028400	244	1626	861	2999	1158	808	1104	660	387	183	519	684	1385	1621	1197	760	2001	688	202	189	924.43	1052	1162	196	0.186	-2.428	-3.722	0.000197293756161882	0.00575026371436054	0.2237	0.7104	0.2696	0.2696	TRUE	0.1826
FBgn0031220	203	739	762	1392	152	144	193	134	201	129	431	311	1225	752	157	135	350	140	105	133	374	680	196	119	0.175	-2.514	-3.673	0.000239303833073223	0.00673937199568358	0.2409	0.745	0.2952	0.2952	TRUE	0.1367
FBgn0031244	140	702	289	1037	56	16	5	48	139	45	298	295	465	560	58	15	9	50	72	46	186.89	404	33	59	0.147	-2.762	-3.671	0.000241383600761988	0.00675607982310413	0.2834	0.8031	0.353	0.353	TRUE	0.201
FBgn0265102	305	1448	322	1049	87	195	58	164	420	68	648	609	518	567	90	183	105	171	219	70	318.05	586	137	144	0.248	-2.01	-3.667	0.000245765253013623	0.00683123923271341	0.1309	0.7552	0.1883	0.1883	TRUE	0.3789
FBgn0014870	785	3980	972	3458	1268	1458	834	1163	2062	859	1668	1673	1563	1869	1310	1371	1512	1213	1075	888	1414.25	1693	1352	982	0.58	-0.786	-3.654	0.000258274545969867	0.00710416423008365	0.0077	0.7023	0.0289	0.0289	TRUE	0.0496
FBgn0034715	15	148	54	284	2	2	0	10	13	5	32	62	87	153	2	2	0	10	7	5	36.08	84	4	6	0.072	-3.802	-3.652	0.00025995627241631	0.00712075241641605	0.4543	1.2886	0.6052	0.6052	TRUE	0.3014
FBgn0050281	14	46	50	73	0	0	0	0	5	1	30	19	80	39	0	0	0	0	3	1	17.26	42	0	2	0.046	-4.455	-3.647	0.000264998223332567	0.00722886682367744	0.3439	1.9445	0.687	0.687	TRUE	0.1542
FBgn0053517	38	983	295	1969	361	245	404	272	125	39	81	413	474	1064	373	230	732	284	65	40	375.74	508	405	52	0.104	-3.267	-3.643	0.000269583945036217	0.00732369717348388	0.4687	0.7447	0.5047	0.5047	TRUE	0.2029
FBgn0261046	43	546	302	1696	860	613	993	402	107	22	91	230	486	917	889	577	1800	419	56	23	548.6	431	921	40	0.091	-3.45	-3.641	0.000271546013446636	0.00736185218795879	0.5379	0.7265	0.5613	0.5613	TRUE	0.498
FBgn0036663	2587	14509	7758	27311	2933	3069	1754	3017	6314	2120	5498	6100	12476	14760	3031	2887	3179	3146	3293	2191	5656	9708	3061	2742	0.282	-1.824	-3.628	0.000285342613168263	0.00767286867955312	0.1089	0.6908	0.1617	0.1617	TRUE	0.0563
FBgn0040733	123	33	409	100	5	1	0	2	20	1	261	14	658	54	5	1	0	2	10	1	100.67	247	2	6	0.024	-5.391	-3.621	0.000293874028792002	0.00788621707752196	1.4346	0.9025	1.3312	1.3312	TRUE	0.143
FBgn0029508	81	214	148	337	9	0	0	0	16	6	172	90	238	182	9	0	0	0	8	6	70.61	170	2	7	0.043	-4.544	-3.609	0.000307115856568017	0.00809351427997509	0.9106	0.9943	0.9428	0.9428	TRUE	1.1538
FBgn0267431	3	7	16	30	15	16	3	27	0	0	6	3	26	16	16	15	5	28	0	0	11.54	13	16	0	0.011	-6.555	-3.584	0.00033810180971049	0.00868474356732997	0.517	2.5677	0.7795	0.7795	TRUE	0.2034
FBgn0035099	89	741	205	696	57	71	53	95	100	116	189	312	330	376	59	67	96	99	52	120	169.93	302	80	86	0.282	-1.824	-3.564	0.000365206278200819	0.00928352530664793	0.1006	0.8147	0.1605	0.1605	TRUE	0.1953
FBgn0266717	3869	13695	5746	15260	2981	3359	1743	3354	8074	2180	8222	5758	9241	8247	3080	3160	3159	3497	4211	2252	5082.73	7867	3224	3232	0.411	-1.283	-3.564	0.000365631535216006	0.00928352530664793	0.0426	0.6912	0.0828	0.0828	TRUE	0.2661
FBgn0039617	15	149	67	448	155	95	168	29	18	0	32	63	108	242	160	89	304	30	9	0	103.8	111	146	4	0.044	-4.501	-3.562	0.000367742904222126	0.00930135931885964	0.9199	0.896	0.9154	0.9154	TRUE	0.2357
FBgn0263110	958	3088	978	2923	555	874	446	803	1565	436	2036	1298	1573	1580	574	822	808	837	816	450	1079.46	1622	760	633	0.391	-1.354	-3.56	0.000370389508150541	0.00935038752602599	0.0491	0.707	0.0915	0.0915	TRUE	0.1551
FBgn0284254	231	1528	214	897	227	318	106	317	382	172	491	642	344	485	235	299	192	331	199	178	339.56	490	264	188	0.384	-1.382	-3.552	0.000382990771516833	0.00957694537184989	0.0465	0.7509	0.0934	0.0934	TRUE	0.0872
FBgn0052056	596	3666	633	1943	254	288	547	249	350	277	1267	1541	1018	1050	262	271	991	260	183	286	712.91	1219	446	234	0.192	-2.38	-3.543	0.000395148221470028	0.00976992877915503	0.2343	0.7174	0.2865	0.2865	TRUE	3.6782
FBgn0023458	2831	16397	2867	12709	2968	3944	2169	3640	6179	1589	6016	6894	4611	6868	3067	3710	3931	3795	3223	1642	4375.71	6097	3626	2432	0.399	-1.326	-3.538	0.000403311609088211	0.00994150191953547	0.0478	0.6919	0.0897	0.0897	TRUE	0.2186
FBgn0036935	56	523	350	1546	353	207	194	172	150	42	119	220	563	836	365	195	352	179	78	43	294.94	434	273	60	0.14	-2.834	-3.533	0.000410594789814263	0.010076362471966	0.3538	0.7605	0.4027	0.4027	TRUE	0.1145
FBgn0036910	112	595	561	1900	43	79	16	77	219	61	238	250	902	1027	44	74	29	80	114	63	282.25	604	57	88	0.147	-2.767	-3.528	0.000418767456968909	0.0102578603605946	0.3363	0.7638	0.3876	0.3876	TRUE	0.0282
FBgn0039530	159	743	307	1431	244	189	113	356	261	23	338	312	494	773	252	178	205	371	136	24	308.32	479	252	80	0.168	-2.576	-3.507	0.000453759849187119	0.0109125524386476	0.2832	0.7573	0.3384	0.3384	TRUE	0.3455
FBgn0031275	21	147	249	1233	259	250	384	108	51	9	45	62	400	666	268	235	696	113	27	9	252.05	293	328	18	0.062	-4.02	-3.501	0.000463837268810245	0.0110542300723857	0.8214	0.773	0.815	0.815	TRUE	0.2589
FBgn0264821	24	93	73	196	4	13	6	5	27	12	51	39	117	106	4	12	11	5	14	12	37.24	78	8	13	0.17	-2.559	-3.498	0.000468263613868396	0.0111396117007287	0.1862	1.2698	0.2997	0.2997	TRUE	0.0286
FBgn0037908	4	103	40	295	132	109	119	24	4	6	9	43	64	159	136	103	216	25	2	6	76.35	69	120	4	0.058	-4.114	-3.497	0.000470512313275058	0.0111729749499471	0.719	0.9712	0.7545	0.7545	TRUE	0.1742
FBgn0044328	7	130	88	448	118	98	100	50	15	12	15	55	142	242	122	92	181	52	8	12	92.09	114	112	10	0.088	-3.504	-3.496	0.000472661499964472	0.0112038595763571	0.5389	0.9226	0.5892	0.5892	TRUE	0.1997
FBgn0037530	1484	7103	1733	5878	714	959	455	957	3649	1441	3154	2986	2787	3177	738	902	825	998	1903	1489	1895.81	3026	866	1696	0.561	-0.835	-3.487	0.000488749148527337	0.0114821263487659	0.0118	0.6984	0.0363	0.0363	TRUE	0.0843
N_noFeature	193985	571318	277562	1044071	138389	143244	158728	127314	183584	136295	412228	240214	446371	564259	143004	134737	287689	132749	95744	140827	259782.23	415768	174545	118286	0.284	-1.814	-3.484	0.000494876749867618	0.0115848541285499	0.1352	0.687	0.1736	0.1736	TRUE	0.2441
FBgn0033028	847	3109	832	2113	189	329	139	375	1194	310	1800	1307	1338	1142	195	309	252	391	623	320	767.78	1397	287	472	0.338	-1.564	-3.482	0.000497225547287446	0.0115962281176618	0.0802	0.7152	0.1278	0.1278	TRUE	0.3606
FBgn0033246	5006	19972	12863	25467	2670	3449	1293	3532	10031	3430	10638	8397	20686	13763	2759	3244	2344	3683	5231	3544	7428.98	13371	3008	4388	0.328	-1.607	-3.482	0.000497997526525351	0.0115962281176618	0.0949	0.6899	0.1364	0.1364	TRUE	0.1556
FBgn0261854	1174	7610	945	3761	1042	1026	662	944	2066	704	2495	3200	1520	2033	1077	965	1200	984	1077	727	1527.77	2312	1056	902	0.39	-1.357	-3.473	0.000515463244353551	0.0119394634186362	0.0549	0.7011	0.097	0.097	TRUE	0.0909
FBgn0034990	1	7	11	43	492	229	502	124	0	0	2	3	18	23	508	215	910	129	0	0	180.9	12	440	0	0.012	-6.431	-3.471	0.000519310498170043	0.0119868120757676	0.8412	0.8069	0.834	0.834	TRUE	0.0782
FBgn0005198	758	3767	741	2232	588	604	280	602	1556	536	1611	1584	1192	1206	608	568	507	628	811	554	926.88	1398	578	682	0.489	-1.032	-3.438	0.000587044647908341	0.0133403622828465	0.0236	0.7104	0.0567	0.0567	TRUE	0.0402
FBgn0037295	8	84	111	519	50	32	41	29	27	3	17	35	179	280	52	30	74	30	14	3	71.48	128	46	8	0.069	-3.867	-3.436	0.000590607580452949	0.013398267843162	0.7116	0.9906	0.75	0.75	TRUE	0.0885
FBgn0029834	48	370	252	1344	384	275	124	191	128	32	102	156	405	726	397	259	225	199	67	33	256.84	347	270	50	0.144	-2.795	-3.432	0.000598879549599149	0.0135393950228726	0.3577	0.7714	0.4135	0.4135	TRUE	0.2653
FBgn0031184	202	1125	424	1441	13	79	2	23	176	29	429	473	682	779	13	74	4	24	92	30	260	591	29	61	0.103	-3.274	-3.427	0.000609509476859529	0.0137092906694657	0.5389	0.7704	0.5753	0.5753	TRUE	0.7569
FBgn0015247	562	3546	1148	4291	218	118	224	196	887	444	1194	1491	1846	2319	225	111	406	204	463	459	871.84	1712	236	461	0.269	-1.895	-3.423	0.000618266938871504	0.0138826163161913	0.1473	0.7118	0.1949	0.1949	TRUE	0.2353
FBgn0038672	143	778	272	923	34	122	46	23	139	88	304	327	437	499	35	115	83	24	72	91	198.79	392	64	82	0.208	-2.264	-3.421	0.000622930256886358	0.013939912172323	0.1995	0.7961	0.2732	0.2732	TRUE	0.4168
FBgn0035293	144	1620	607	2617	154	119	82	144	486	124	306	681	976	1414	159	112	149	150	253	128	432.91	844	142	190	0.226	-2.145	-3.412	0.000645632948985528	0.0143265408831192	0.1952	0.7371	0.25	0.25	TRUE	0.0462
FBgn0033387	93	987	550	1781	79	33	15	162	153	69	198	415	885	963	82	31	27	169	80	71	291.95	615	77	76	0.123	-3.025	-3.397	0.000680466204570276	0.014849909585027	0.456	0.7613	0.5004	0.5004	TRUE	0.1242
FBgn0043853	35	86	48	80	0	0	0	0	0	4	74	36	77	43	0	0	0	0	0	4	23.51	58	0	2	0.033	-4.937	-3.396	0.000682734245306748	0.0148748188791832	0.5599	1.6102	1.0793	1.0793	TRUE	0.0278
FBgn0032299	6	34	19	54	120	57	61	29	6	0	13	14	31	29	124	54	111	30	3	0	40.83	22	80	2	0.084	-3.579	-3.393	0.000691586294306265	0.0149934545873984	0.2993	1.2185	0.4265	0.4265	TRUE	0.0403
FBgn0065076	28	45	6	23	0	0	0	0	0	0	60	19	10	12	0	0	0	0	0	0	10.05	25	0	0	0.005	-7.528	-3.392	0.000693485118078531	0.0150099737934276	1.0178	2.8466	1.806	1.806	TRUE	0.6611
FBgn0027584	31	33	202	90	3	3	0	29	5	3	66	14	325	49	3	3	0	30	3	3	49.51	114	9	3	0.025	-5.315	-3.383	0.000716833153138421	0.0154142477538869	1.4585	1.1253	1.3984	1.3984	TRUE	0.9598
FBgn0263468	26	16	15	27	0	0	0	0	0	0	55	7	24	15	0	0	0	0	0	0	10.07	25	0	0	0.005	-7.528	-3.379	0.000727941827231788	0.0155987982238232	1.0869	2.8425	1.8307	1.8307	TRUE	0.1281
