Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0265380	4	13	11	23	0	0	0	0	35	0	9	5	18	12	0	0	0	0	18	0	6.23	11	0	9	0.019	-5.681	-2.969	0.00298907434542864	0.0149013629435546	1.74	4.1686	2.466	2.466	TRUE	0.0794
FBgn0266390	2	2	70	208	7	3	0	3	28	7	4	1	113	112	7	3	0	3	15	7	26.51	58	3	11	0.059	-4.089	-2.969	0.00299156796774002	0.0149051750246322	1.6613	1.5057	1.6368	1.6368	TRUE	0.0248
FBgn0035951	294	1743	227	811	238	181	189	240	888	326	625	733	365	438	246	170	343	250	463	337	396.99	540	252	400	0.466	-1.103	-2.968	0.00299428095534952	0.014913544275195	0.0784	0.7416	0.1292	0.1292	TRUE	0.0896
FBgn0011294	5	33	42	155	6	2	0	0	24	0	11	14	68	84	6	2	0	0	13	0	19.64	44	2	6	0.048	-4.395	-2.968	0.00299988617816315	0.0149311576191748	1.8203	1.792	1.8109	1.8109	TRUE	0.1378
FBgn0262117	521	1558	346	660	283	287	68	288	1542	473	1107	655	556	357	292	270	123	300	804	489	495.42	669	246	646	0.37	-1.436	-2.966	0.00301277617984133	0.0149901452533022	0.1587	0.7307	0.2217	0.2217	TRUE	0.2584
FBgn0037263	27	239	19	33	2	2	3	12	79	1	57	100	31	18	2	2	5	13	41	1	27.04	52	6	21	0.106	-3.242	-2.966	0.0030197175649684	0.0150195049389228	0.953	1.4897	1.028	1.028	TRUE	0.2049
FBgn0052113	366	1105	482	1054	172	261	218	347	1300	442	778	465	775	570	178	245	395	362	678	457	490.2	647	295	568	0.456	-1.133	-2.964	0.00303788071090327	0.0150890468620708	0.0828	0.7312	0.1373	0.1373	TRUE	0.275
FBgn0034793	276	1489	239	926	190	361	138	225	672	642	587	626	384	500	196	340	250	235	350	663	413.18	524	255	506	0.487	-1.039	-2.964	0.00304092859264042	0.0150980183838254	0.0654	0.7395	0.1147	0.1147	TRUE	0.3381
FBgn0036824	931	3587	2102	3032	569	818	188	779	2496	7011	1978	1508	3380	1639	588	769	341	812	1302	7244	1956.19	2126	628	4273	0.295	-1.76	-2.963	0.00304177895664156	0.0150980183838254	0.2905	0.698	0.3375	0.3375	TRUE	1.2642
FBgn0004797	206	522	301	334	75	45	102	64	523	699	438	219	484	181	78	42	185	67	273	722	268.82	330	93	498	0.28	-1.837	-2.963	0.00304475907512582	0.015107615156537	0.3072	0.7677	0.3609	0.3609	TRUE	0.3204
FBgn0033842	170	1236	184	786	221	247	89	245	463	256	361	520	296	425	228	232	161	255	241	265	298.51	400	219	253	0.547	-0.869	-2.963	0.00304862302060339	0.0151215892369035	0.0362	0.7596	0.0786	0.0786	TRUE	0.1241
FBgn0037090	85	278	273	596	76	65	19	93	126	321	181	117	439	322	79	61	34	97	66	332	172.71	265	68	199	0.257	-1.96	-2.962	0.00305175287880442	0.015131913793426	0.3554	0.8126	0.4096	0.4096	TRUE	0.089
