x
FBgn0052111
FBgn0063449
FBgn0052865
FBgn0001234
FBgn0051044
FBgn0065092
FBgn0062961
FBgn0083123
FBgn0058469
FBgn0262620
FBgn0262951
FBgn0262993
FBgn0263380
FBgn0263406
FBgn0264512
FBgn0264549
FBgn0264869
FBgn0265058
